history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
12/1/04,Primary Producer Price Index,Advanced Moon Materials,1.080206,570025619.2,0.000432
12/1/04,Primary Producer Price Index,Alloys & Compounds,0.716585,14515.7229,0
12/1/04,Primary Producer Price Index,Commodity,1.02747,3959086671,0.001028
12/1/04,Primary Producer Price Index,Ice,1.289014,4525601.709,1.20E-05
12/1/04,Primary Producer Price Index,Ore,1.046351,37214114463,0.01631
12/1/04,Primary Producer Price Index,Planetary Processed Materials,1.018656,6256772651,0.001103
12/1/04,Primary Producer Price Index,Planetary Refined Commodities,1.024244,33578674030,0.007697
12/1/04,Primary Producer Price Index,Planetary Specialized Commodities,0.953895,22266916463,-0.009707
12/1/04,Primary Producer Price Index,Processed Moon Materials,24.353413,6453654.537,0.001425
12/1/04,Primary Producer Price Index,Reactions,0.938111,1897410732,-0.00111
12/1/04,Secondary Producer Price Index,Blueprints,0.930247,2.65564E+11,-0.025791
12/1/04,Secondary Producer Price Index,Commodity,1.010109,3.02184E+11,0.004253
12/1/04,Secondary Producer Price Index,Planetary Commodities,1.110356,2872620773,0.000441
12/1/04,Secondary Producer Price Index,Planetary Refined Commodities,0.902218,22201094278,-0.003022
12/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,1.018229,69458105996,0.001762
12/1/04,Secondary Producer Price Index,Tech II construction components,0.879864,55944473454,-0.009357
1/1/05,Consumer Price Index,Ammo,0.880248,85932914761,-0.002323
1/1/05,Consumer Price Index,Boosters,1.004752,2170285.579,0
1/1/05,Consumer Price Index,Commodity,1.005308,2.65436E+11,0.000318
1/1/05,Consumer Price Index,Drones,1.039168,27855614144,0.000246
1/1/05,Consumer Price Index,Ice Products,0.777415,30366865996,-0.001525
1/1/05,Consumer Price Index,Implants,2.013345,2.91744E+11,0.066744
1/1/05,Consumer Price Index,Insignias,1.270103,289563017.6,1.70E-05
1/1/05,Consumer Price Index,Skills,1.028638,3.14333E+11,0.002032
1/1/05,Consumer Price Index,Starbase structures,0.989777,2.03828E+11,-0.00047
1/1/05,Consumer Price Index,Tech I modules,1.022806,6.23038E+11,0.003207
1/1/05,Consumer Price Index,Tech I ships,1.020483,1.98681E+12,0.009187
1/1/05,Consumer Price Index,Tech II modules,0.998868,4.29857E+11,-0.000109
1/1/05,Consumer Price Index,Tech II ships,0.964587,1.69882E+11,-0.001358
1/1/05,Mineral Price Index,High-End Minerals,1.01287,6.03611E+11,0.008149
1/1/05,Mineral Price Index,Low-End Minerals,1.079383,3.49633E+11,0.029116
1/1/05,Primary Producer Price Index,Advanced Moon Materials,0.937236,7762613774,-0.000696
